iter	Passed	Remaining
266	700	1923
267	703	1920
268	705	1917
269	708	1915
270	710	1911
271	712	1908
272	715	1905
273	718	1902
274	720	1900
275	723	1897
276	725	1894
277	728	1890
278	730	1887
279	733	1885
280	735	1882
281	738	1879
282	740	1876
283	742	1872
284	745	1870
285	748	1867
286	750	1864
287	753	1861
288	755	1858
289	757	1855
290	760	1852
291	762	1849
292	765	1846
293	767	1844
294	770	1841
295	772	1838
296	775	1835
297	778	1833
298	780	1830
299	783	1827
300	785	1824
301	788	1821
302	790	1819
303	793	1816
304	795	1813
305	798	1810
306	800	1807
307	803	1804
308	806	1802
309	808	1800
310	811	1797
311	813	1794
312	816	1791
313	818	1789
314	821	1786
315	823	1783
316	826	1780
317	828	1777
318	831	1775
319	834	1772
320	837	1770
321	839	1767
322	841	1764
323	844	1761
324	846	1758
325	849	1755
326	851	1752
327	854	1749
328	856	1746
329	858	1743
330	861	1741
331	863	1738
332	866	1735
333	868	1731
334	870	1728
335	873	1725
336	875	1722
337	878	1719
338	880	1716
339	882	1713
340	884	1710
341	887	1707
342	890	1704
343	892	1702
344	895	1700
345	897	1696
346	900	1693
347	902	1690
348	904	1687
349	907	1684
350	909	1681
351	912	1679
352	914	1676
353	917	1673
354	919	1671
355	922	1668
356	924	1665
357	927	1662
358	929	1660
359	932	1657
360	934	1654
361	937	1652
362	940	1650
363	943	1648
364	946	1646
365	949	1644
366	952	1642
367	954	1639
368	957	1636
369	959	1633
370	961	1630
371	964	1628
372	966	1625
373	969	1623
374	972	1620
375	974	1617
376	977	1615
377	980	1612
378	982	1609
379	984	1607
380	987	1603
381	989	1601
382	992	1598
383	994	1595
384	997	1593
385	999	1590
386	1002	1587
387	1004	1584
388	1007	1582
389	1009	1579
390	1011	1576
391	1014	1573
392	1017	1571
393	1019	1568
394	1022	1565
395	1024	1562
396	1027	1560
397	1029	1557
398	1031	1554
399	1034	1551
400	1036	1548
401	1039	1545
402	1042	1543
403	1044	1541
404	1047	1538
405	1050	1536
406	1052	1534
407	1055	1531
408	1058	1529
409	1061	1528
410	1064	1525
411	1068	1524
412	1071	1522
413	1074	1520
414	1077	1518
415	1080	1516
416	1082	1514
417	1085	1511
418	1088	1509
419	1091	1506
420	1093	1503
421	1096	1501
422	1098	1498
423	1101	1496
424	1104	1493
425	1106	1490
426	1108	1487
427	1111	1485
428	1113	1482
429	1116	1479
430	1118	1477
431	1121	1474
432	1123	1471
433	1126	1468
434	1128	1465
435	1130	1462
436	1133	1460
437	1135	1457
438	1138	1454
439	1140	1452
440	1143	1449
441	1145	1446
442	1148	1443
443	1150	1441
444	1152	1437
445	1155	1435
446	1158	1432
447	1160	1430
448	1163	1427
449	1165	1424
450	1168	1422
451	1171	1419
452	1173	1417
453	1176	1414
454	1178	1411
455	1181	1409
456	1183	1406
457	1186	1403
458	1189	1401
459	1192	1399
460	1194	1396
461	1197	1394
462	1199	1391
463	1202	1388
464	1204	1386
465	1206	1383
466	1209	1380
467	1211	1377
468	1214	1374
469	1216	1372
470	1219	1369
471	1221	1366
472	1224	1363
473	1226	1361
474	1228	1358
475	1231	1355
476	1233	1352
477	1236	1349
478	1238	1347
479	1241	1344
480	1243	1341
481	1246	1339
482	1248	1336
483	1251	1334
484	1253	1331
485	1256	1328
486	1259	1326
487	1261	1323
488	1263	1320
489	1266	1318
490	1268	1315
491	1271	1312
492	1273	1310
493	1276	1307
494	1278	1304
495	1281	1301
496	1283	1298
497	1286	1296
498	1288	1293
499	1291	1291
500	1293	1288
501	1296	1286
502	1298	1283
503	1301	1281
504	1304	1278
505	1307	1276
506	1310	1274
507	1313	1271
508	1315	1269
509	1318	1266
510	1320	1264
511	1323	1261
512	1326	1259
513	1329	1256
514	1332	1254
515	1334	1251
516	1337	1249
517	1340	1246
518	1343	1245
519	1346	1243
520	1350	1241
521	1353	1238
522	1355	1236
523	1358	1234
524	1361	1232
525	1364	1229
526	1367	1226
527	1370	1224
528	1372	1222
529	1375	1220
530	1378	1217
531	1381	1215
532	1384	1212
533	1387	1210
534	1390	1208
535	1392	1205
536	1395	1203
537	1398	1200
538	1400	1198
539	1403	1195
540	1406	1193
541	1409	1191
542	1412	1188
543	1415	1186
544	1418	1183
545	1421	1181
546	1423	1178
547	1426	1176
548	1429	1174
549	1432	1171
550	1435	1169
551	1438	1167
552	1441	1164
553	1444	1162
554	1447	1160
555	1451	1159
556	1454	1156
557	1457	1154
558	1460	1152
559	1463	1149
560	1466	1147
561	1469	1145
562	1472	1143
563	1475	1140
564	1478	1138
565	1481	1135
566	1484	1133
567	1487	1131
568	1489	1128
569	1492	1126
570	1495	1123
571	1498	1121
572	1501	1118
573	1504	1116
574	1507	1114
575	1511	1112
576	1513	1109
577	1517	1107
578	1519	1104
579	1522	1102
580	1525	1099
581	1527	1097
582	1530	1095
583	1533	1092
584	1536	1090
585	1539	1087
586	1542	1085
587	1545	1082
588	1548	1080
589	1551	1077
590	1553	1075
591	1556	1073
592	1559	1070
593	1562	1067
594	1565	1065
595	1568	1062
596	1570	1060
597	1573	1057
598	1577	1055
599	1579	1053
600	1582	1050
601	1585	1048
602	1588	1045
603	1591	1043
604	1594	1040
605	1596	1038
606	1599	1035
607	1602	1033
608	1605	1030
609	1608	1028
610	1610	1025
611	1614	1023
612	1617	1021
613	1620	1018
614	1622	1015
615	1625	1013
616	1628	1010
617	1631	1008
618	1634	1005
619	1636	1003
620	1639	1000
621	1641	997
622	1644	995
623	1647	992
624	1650	990
625	1653	987
626	1656	985
627	1659	982
628	1662	980
629	1665	978
630	1668	975
631	1671	973
632	1673	970
633	1676	967
634	1678	965
635	1681	962
636	1684	959
637	1686	957
638	1689	954
639	1692	951
640	1695	949
641	1697	946
642	1700	943
643	1702	941
644	1705	938
645	1707	935
646	1710	933
647	1712	930
648	1714	927
649	1717	924
650	1719	922
651	1722	919
652	1724	916
653	1727	913
654	1729	911
655	1732	908
656	1734	905
657	1737	902
658	1739	900
659	1742	897
660	1744	894
661	1747	892
662	1750	889
663	1752	886
664	1754	883
665	1757	881
666	1759	878
667	1762	875
668	1764	873
669	1767	870
670	1769	867
671	1771	864
672	1774	862
673	1776	859
674	1779	856
675	1781	854
676	1784	851
677	1786	848
678	1788	845
679	1791	842
680	1793	840
681	1796	837
682	1798	834
683	1801	832
684	1803	829
685	1806	826
686	1808	824
687	1811	821
688	1813	818
689	1815	815
690	1818	813
691	1820	810
692	1823	807
693	1825	805
694	1828	802
695	1831	799
696	1833	797
697	1836	794
698	1839	792
699	1842	789
700	1846	787
701	1848	784
702	1851	782
703	1853	779
704	1856	776
705	1858	773
706	1861	771
707	1864	768
708	1866	766
709	1869	763
710	1872	761
711	1875	758
712	1878	756
713	1881	753
714	1884	751
715	1887	748
716	1889	745
717	1893	743
718	1895	740
719	1898	738
720	1901	735
721	1903	733
722	1906	730
723	1909	727
724	1912	725
725	1914	722
726	1917	720
727	1919	717
728	1923	714
729	1926	712
730	1929	709
731	1932	707
732	1935	705
733	1938	702
734	1941	699
735	1943	697
736	1946	694
737	1948	691
738	1951	689
739	1954	686
740	1956	683
741	1959	681
742	1961	678
743	1964	676
744	1967	673
745	1970	670
746	1972	668
747	1974	665
748	1977	662
749	1980	660
750	1982	657
751	1985	654
752	1987	651
753	1990	649
754	1992	646
755	1995	644
756	1998	641
757	2000	638
758	2002	635
759	2005	633
760	2007	630
761	2010	627
762	2012	625
763	2015	622
764	2017	619
765	2019	617
766	2022	614
767	2025	612
768	2028	609
769	2031	606
770	2034	604
771	2037	601
772	2039	598
773	2042	596
774	2044	593
775	2047	590
776	2049	588
777	2052	585
778	2054	582
779	2057	580
780	2059	577
781	2062	574
782	2064	572
783	2068	569
784	2070	567
785	2073	564
786	2076	561
787	2078	559
788	2081	556
789	2084	554
790	2086	551
791	2089	548
792	2092	546
793	2095	543
794	2098	541
795	2100	538
796	2103	535
797	2106	533
798	2108	530
799	2111	527
800	2114	525
801	2117	522
802	2120	520
803	2122	517
804	2124	514
805	2127	512
806	2130	509
807	2132	506
808	2135	504
809	2137	501
810	2139	498
811	2142	495
812	2144	493
813	2147	490
814	2149	487
815	2151	485
816	2153	482
817	2156	479
818	2158	477
819	2161	474
820	2163	471
821	2166	469
822	2168	466
823	2170	463
824	2173	461
825	2175	458
826	2177	455
827	2180	452
828	2182	450
829	2185	447
830	2187	444
831	2190	442
832	2192	439
833	2195	436
834	2197	434
835	2200	431
836	2203	429
837	2206	426
838	2209	423
839	2212	421
840	2216	419
841	2218	416
842	2221	413
843	2223	411
844	2226	408
845	2228	405
846	2231	403
847	2234	400
848	2236	397
849	2239	395
850	2241	392
851	2244	389
852	2247	387
853	2249	384
854	2252	381
855	2255	379
856	2257	376
857	2260	374
858	2262	371
859	2265	368
860	2267	366
861	2270	363
862	2272	360
863	2275	358
864	2277	355
865	2280	352
866	2282	350
867	2284	347
868	2287	344
869	2289	342
870	2292	339
871	2294	336
872	2297	334
873	2299	331
874	2302	328
875	2305	326
876	2308	323
877	2311	321
878	2313	318
879	2316	315
880	2319	313
881	2321	310
882	2324	308
883	2326	305
884	2329	302
885	2332	300
886	2334	297
887	2337	294
888	2339	292
889	2342	289
890	2344	286
891	2347	284
892	2350	281
893	2352	278
894	2354	276
895	2357	273
896	2359	270
897	2362	268
898	2365	265
899	2367	263
900	2370	260
901	2372	257
902	2375	255
903	2377	252
904	2379	249
905	2382	247
906	2385	244
907	2387	241
908	2389	239
909	2392	236
910	2394	233
911	2397	231
912	2399	228
913	2401	225
914	2404	223
915	2406	220
916	2409	218
917	2412	215
918	2415	212
919	2417	210
920	2420	207
921	2423	204
922	2425	202
923	2428	199
924	2431	197
925	2433	194
926	2436	191
927	2438	189
928	2441	186
929	2443	183
930	2445	181
931	2448	178
932	2451	176
933	2453	173
934	2455	170
935	2458	168
936	2461	165
937	2464	162
938	2467	160
939	2469	157
940	2472	155
941	2475	152
942	2477	149
943	2480	147
944	2482	144
945	2484	141
946	2487	139
947	2490	136
948	2492	133
949	2495	131
950	2497	128
951	2500	126
952	2502	123
953	2505	120
954	2508	118
955	2510	115
956	2513	112
957	2516	110
958	2518	107
959	2521	105
960	2523	102
961	2526	99
962	2529	97
963	2532	94
964	2535	91
965	2538	89
966	2541	86
967	2544	84
968	2547	81
969	2550	78
970	2552	76
971	2555	73
972	2558	70
973	2560	68
974	2563	65
975	2566	63
976	2568	60
977	2571	57
978	2574	55
979	2576	52
980	2580	49
981	2583	47
982	2586	44
983	2589	42
984	2592	39
985	2594	36
986	2597	34
987	2599	31
988	2602	28
989	2604	26
990	2607	23
991	2609	21
992	2612	18
993	2615	15
994	2617	13
995	2620	10
996	2622	7
997	2625	5
998	2627	2
999	2630	0
