iter	RMSE
0	87.0526274
1	84.31420198
2	81.88546237
3	79.25669413
4	76.69941569
5	74.31438181
6	71.93984839
7	69.59731109
8	67.52085814
9	65.47138201
10	63.4832638
11	61.47673588
12	59.73426601
13	57.87625382
14	56.06738414
15	54.38620766
16	52.76351585
17	51.18386064
18	49.74173887
19	48.32255346
20	46.92111956
21	45.56922242
22	44.24923551
23	42.95516942
24	41.75357889
25	40.57055797
26	39.42800922
27	38.33757579
28	37.20609426
29	36.15931698
30	35.18185554
31	34.28491677
32	33.35410529
33	32.44381731
34	31.57329516
35	30.70475314
36	29.90174107
37	29.15014078
38	28.39537598
39	27.73485855
40	27.09105588
41	26.4565065
42	25.83240013
43	25.23871854
44	24.65249506
45	24.06588132
46	23.51196615
47	22.97822348
48	22.5093781
49	21.99877062
50	21.51497393
51	21.07159878
52	20.66021136
53	20.29721855
54	19.89952101
55	19.509052
56	19.152711
57	18.83723042
58	18.45977108
59	18.15224208
60	17.85172263
61	17.54551061
62	17.25231564
63	16.96699033
64	16.68668432
65	16.41470394
66	16.15200872
67	15.90959762
68	15.65169088
69	15.4344445
70	15.24473398
71	15.04636884
72	14.83024744
73	14.62823432
74	14.44178673
75	14.28179757
76	14.09470624
77	13.9322466
78	13.7856583
79	13.67104183
80	13.50515563
81	13.36093994
82	13.21793999
83	13.08531897
84	12.96479041
85	12.83918972
86	12.71629519
87	12.60056285
88	12.49570549
89	12.39907364
90	12.29410164
91	12.19650849
92	12.0955345
93	12.00412848
94	11.91972686
95	11.83754629
96	11.75033929
97	11.67560498
98	11.60587242
99	11.53320894
100	11.45674704
101	11.40472733
102	11.33608799
103	11.26449348
104	11.19624559
105	11.1423127
106	11.0867071
107	11.02744414
108	10.97398295
109	10.91550167
110	10.86376975
111	10.81787463
112	10.76406023
113	10.72063247
114	10.6746026
115	10.63362012
116	10.58736604
117	10.54046889
118	10.50984315
119	10.47208864
120	10.42840272
121	10.40209546
122	10.36623735
123	10.3423602
124	10.31314296
125	10.28281851
126	10.25655639
127	10.22161957
128	10.19606374
129	10.1711806
130	10.14914399
131	10.11923163
132	10.09410655
133	10.06924443
134	10.04496915
135	10.02319216
136	9.99696331
137	9.977529204
138	9.958568975
139	9.940144816
140	9.918392901
141	9.901893828
142	9.883246902
143	9.867420125
144	9.849719648
145	9.833564548
146	9.818093599
147	9.801891681
148	9.785035728
149	9.773079507
150	9.758485359
151	9.741595542
152	9.729695221
153	9.711921348
154	9.697964845
155	9.686102305
156	9.673781073
157	9.659364263
158	9.647860453
159	9.63673987
160	9.625510659
161	9.612644328
162	9.606374279
163	9.591797413
164	9.580573742
165	9.568705666
166	9.557378226
167	9.545480438
168	9.536557653
169	9.526827722
170	9.515969852
171	9.506998148
172	9.497011831
173	9.487559065
174	9.475667464
175	9.469041067
176	9.460404605
177	9.449036946
178	9.441387566
179	9.434413873
180	9.432182405
181	9.424194227
182	9.414130291
183	9.40851374
184	9.40159136
185	9.391252169
186	9.384138914
187	9.379059787
188	9.370670028
189	9.364629765
190	9.356579721
191	9.351082248
192	9.346131733
193	9.341767895
194	9.3349274
195	9.328325802
196	9.323067927
197	9.318899707
198	9.312603566
199	9.307480794
200	9.300775793
201	9.295917739
202	9.290942348
203	9.284608218
204	9.275988685
205	9.269053448
206	9.262761942
207	9.258149285
208	9.252979902
209	9.249221997
210	9.245153354
211	9.240057895
212	9.235253046
213	9.226641
214	9.220908295
215	9.217307355
216	9.214291752
217	9.210680114
218	9.20718054
219	9.204985409
220	9.201855994
221	9.200223597
222	9.196258095
223	9.188960201
224	9.184768501
225	9.179018972
226	9.174416552
227	9.171797049
228	9.169135975
229	9.164845482
230	9.161885342
231	9.159696668
232	9.153862858
233	9.149827847
234	9.14759508
235	9.143902955
236	9.141763526
237	9.137149128
238	9.132387221
239	9.128749859
240	9.126528056
241	9.12235334
242	9.120052366
243	9.111861665
244	9.10873288
245	9.105629856
246	9.101606846
247	9.096505942
248	9.091554677
249	9.088762376
250	9.082216714
251	9.080084019
252	9.07823853
253	9.074979274
254	9.07214659
255	9.070217199
256	9.067122713
257	9.064025519
258	9.061589601
259	9.058923318
260	9.056993892
261	9.055037146
262	9.053444466
263	9.051669395
264	9.050030615
265	9.048519203
266	9.044227478
267	9.042694642
268	9.040257218
269	9.038644107
270	9.036982987
271	9.035406369
272	9.032775986
273	9.031234101
274	9.029359178
275	9.027489775
276	9.02372827
277	9.021821899
278	9.01797544
279	9.015779187
280	9.011824053
281	9.010238096
282	9.008969943
283	9.006871951
284	9.002915173
285	9.001275041
286	8.999349777
287	8.997562411
288	8.995752523
289	8.986495678
290	8.983497214
291	8.979822633
292	8.973728462
293	8.972196855
294	8.967770691
295	8.96273773
296	8.959126509
297	8.950557787
298	8.944752019
299	8.939206043
300	8.936202979
301	8.933276442
302	8.929577667
303	8.928025234
304	8.923623629
305	8.920857789
306	8.914692025
307	8.913771123
308	8.909325876
309	8.907369353
310	8.904668489
311	8.900337438
312	8.899204999
313	8.897967628
314	8.89393507
315	8.892972572
316	8.891733795
317	8.890665392
318	8.881908217
319	8.877151784
320	8.873790438
321	8.86771943
322	8.865208276
323	8.862480117
324	8.853831496
325	8.852819307
326	8.844765697
327	8.83713493
328	8.833861801
329	8.830881455
330	8.826186382
331	8.825657002
332	8.823668421
333	8.818641336
334	8.816204504
335	8.813890012
336	8.810551579
337	8.809196667
338	8.80854247
339	8.801125226
340	8.797121678
341	8.794652947
342	8.793087764
343	8.786158716
344	8.783927733
345	8.780944219
346	8.777565695
347	8.769358236
348	8.761835462
349	8.759143698
350	8.754822552
351	8.750220253
352	8.747324514
353	8.745937204
354	8.74385636
355	8.742756784
356	8.737309876
357	8.735183898
358	8.7254167
359	8.722860029
360	8.722351157
361	8.718933762
362	8.711900059
363	8.705251035
364	8.70332628
365	8.696870584
366	8.696331297
367	8.695604787
368	8.692182434
369	8.689093023
370	8.686546065
371	8.684503165
372	8.681819738
373	8.680216911
374	8.671648825
375	8.670407466
376	8.665308616
377	8.655334011
378	8.650513474
379	8.645967475
380	8.643605132
381	8.641700982
382	8.635548904
383	8.630863462
384	8.625561841
385	8.616657593
386	8.613547188
387	8.607891756
388	8.600508968
389	8.59315914
390	8.585482346
391	8.583079198
392	8.580880591
393	8.578764797
394	8.573774239
395	8.570187791
396	8.564665285
397	8.561544173
398	8.55411841
399	8.551398622
400	8.549101988
401	8.543340094
402	8.537733986
403	8.535721236
404	8.533969509
405	8.528432722
406	8.521595449
407	8.519387829
408	8.511753431
409	8.501720638
410	8.494193136
411	8.490558898
412	8.487733871
413	8.48314888
414	8.479264165
415	8.473466861
416	8.468035557
417	8.463858872
418	8.458582656
419	8.448396649
420	8.446316753
421	8.44359919
422	8.440999713
423	8.434850032
424	8.430273542
425	8.425753799
426	8.423868272
427	8.419242014
428	8.417023037
429	8.415242498
430	8.410647939
431	8.406451618
432	8.398342724
433	8.390288142
434	8.388388941
435	8.381413961
436	8.377587658
437	8.375742383
438	8.374775503
439	8.371440699
440	8.370511757
441	8.362702375
442	8.357774272
443	8.353704581
444	8.350388843
445	8.344739825
446	8.338042881
447	8.336191732
448	8.328606862
449	8.326615351
450	8.321569045
451	8.315472225
452	8.313075024
453	8.31072976
454	8.309842823
455	8.306777164
456	8.301492763
457	8.294172031
458	8.293060093
459	8.287662602
460	8.282504751
461	8.278816891
462	8.273535161
463	8.266132141
464	8.264001503
465	8.259093311
466	8.256228278
467	8.254258177
468	8.249065604
469	8.247148188
470	8.242389559
471	8.240713914
472	8.235593733
473	8.233868921
474	8.226047726
475	8.223253254
476	8.218330001
477	8.21558122
478	8.212982221
479	8.210095887
480	8.208474518
481	8.203911658
482	8.196539523
483	8.189812314
484	8.187650743
485	8.183771374
486	8.181355694
487	8.179739546
488	8.175155568
489	8.173499392
490	8.165741561
491	8.16370191
492	8.158521106
493	8.152878471
494	8.151822543
495	8.149303726
496	8.145735161
497	8.143998424
498	8.14236921
499	8.139765729
500	8.137391628
501	8.135576191
502	8.128415361
503	8.127658748
504	8.124597485
505	8.119059153
506	8.114878589
507	8.108340617
508	8.105449203
509	8.10043525
510	8.098634773
511	8.097913728
512	8.09535831
513	8.094611696
514	8.090511968
515	8.088595933
516	8.085346234
517	8.078373664
518	8.077648805
519	8.072074184
520	8.066017701
521	8.063848148
522	8.061112273
523	8.055687264
524	8.052230276
525	8.04879809
526	8.046778156
527	8.044961443
528	8.043996806
529	8.040252491
530	8.037313436
531	8.030982484
532	8.026634089
533	8.023015496
534	8.018138939
535	8.015731624
536	8.009894886
537	8.007399437
538	8.003204665
539	8.000711512
540	8.00004239
541	7.99332286
542	7.989009962
543	7.988215833
544	7.983534184
545	7.98055934
546	7.979404871
547	7.9750225
548	7.969460389
549	7.965495536
550	7.960404046
551	7.956436698
552	7.947205125
553	7.944821276
554	7.93863945
555	7.937995902
556	7.936163442
557	7.933101758
558	7.930108409
559	7.928591211
560	7.923623866
561	7.92065566
562	7.917052631
563	7.913629463
564	7.909925844
565	7.908394202
566	7.906996504
567	7.903627024
568	7.902306894
569	7.899611857
570	7.896649017
571	7.893579721
572	7.890698284
573	7.886539663
574	7.878867379
575	7.876416776
576	7.874463364
577	7.872228699
578	7.865502632
579	7.859960135
580	7.857280495
581	7.850921323
582	7.850219745
583	7.843383199
584	7.839626455
585	7.832355604
586	7.830689163
587	7.827402342
588	7.825179919
589	7.822176872
590	7.819398596
591	7.816683684
592	7.813593231
593	7.81069607
594	7.809391681
595	7.806415962
596	7.804853498
597	7.803871649
598	7.798298072
599	7.795321337
600	7.792945186
601	7.791825165
602	7.787934867
603	7.785179673
604	7.779932274
605	7.779291918
606	7.777626218
607	7.772870944
608	7.770497372
609	7.764815161
610	7.760144813
611	7.757402255
612	7.75547384
613	7.75300555
614	7.748948102
615	7.745932442
616	7.742718351
617	7.740052082
618	7.73814682
619	7.737036988
620	7.73426927
621	7.728922848
622	7.726571896
623	7.724759876
624	7.721200097
625	7.719869426
626	7.717031362
627	7.715710226
628	7.713951636
629	7.71098343
630	7.707921331
631	7.703612739
632	7.701105475
633	7.700219997
634	7.697614323
635	7.696300189
636	7.693363937
637	7.687458039
638	7.686676204
639	7.683507311
640	7.680080186
641	7.676829249
642	7.672498213
643	7.671431047
644	7.669471036
645	7.667215953
646	7.661724501
647	7.657469853
648	7.655874376
649	7.654198215
650	7.652677326
651	7.651093801
652	7.648037997
653	7.646145371
654	7.644731098
655	7.642254865
656	7.63624979
657	7.633749788
658	7.631453502
659	7.627439739
660	7.623991284
661	7.619263724
662	7.616982872
663	7.615064412
664	7.612015413
665	7.609893955
666	7.606569949
667	7.602940929
668	7.597467678
669	7.594526798
670	7.591923212
671	7.590685458
672	7.587159959
673	7.581593698
674	7.580748492
675	7.578819462
676	7.574216358
677	7.569278938
678	7.564311001
679	7.563060135
680	7.557474174
681	7.555566166
682	7.553539183
683	7.549499665
684	7.546600226
685	7.545077313
686	7.542942914
687	7.53905462
688	7.536745558
689	7.535414173
690	7.531985442
691	7.529332384
692	7.526057997
693	7.523554551
694	7.521327658
695	7.520949383
696	7.518933576
697	7.51562387
698	7.510953457
699	7.506742673
700	7.503084496
701	7.501213914
702	7.496736396
703	7.494647412
704	7.492851018
705	7.487886322
706	7.485406621
707	7.4799515
708	7.473692486
709	7.471518654
710	7.468521818
711	7.46746815
712	7.464909518
713	7.461381017
714	7.459795728
715	7.457399364
716	7.454372215
717	7.450669218
718	7.449556312
719	7.445398399
720	7.440163998
721	7.439158079
722	7.432920778
723	7.431825321
724	7.428459959
725	7.426736058
726	7.423045801
727	7.418691908
728	7.417948241
729	7.41282472
730	7.408486946
731	7.406353127
732	7.404883587
733	7.402132742
734	7.400175499
735	7.397546686
736	7.394883592
737	7.392558825
738	7.391670511
739	7.388818634
740	7.382909518
741	7.38135835
742	7.376041764
743	7.37264647
744	7.370078888
745	7.368017852
746	7.362638554
747	7.360303085
748	7.359441741
749	7.355305892
750	7.351003288
751	7.34903108
752	7.345921942
753	7.344095379
754	7.339681619
755	7.336654213
756	7.331212445
757	7.328181573
758	7.326471265
759	7.320767333
